Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Acute_Survivor_12_2					82.27795186510349	52.0	116.1757100945019	40.0	10298418.0
Acute_Survivor_13	30.216940675434827	3368787	24.83	5575092.0					
Acute_Survivor_13._STARpass1			24.98	5607788.0					
Acute_Survivor_13_1					91.16446971218586	53.0	117.61764115304555	40.0	22450596.0
Acute_Survivor_13_2					87.71141786386164	52.0	116.54110385310038	40.0	22450596.0
Acute_Survivor_15	40.370050528710806	6437162	15.8	7973155.0					
Acute_Survivor_15._STARpass1			15.31	7722690.0					
Acute_Survivor_15_1					86.15749277340775	54.0	109.60887416799027	20.0	50452234.0
Acute_Survivor_15_2					87.16398029782316	54.0	109.01755712145471	40.0	50452234.0
Acute_Survivor_17	37.88523704604045	3160893	18.86	4172101.0					
Acute_Survivor_17._STARpass1			18.74	4146760.0					
Acute_Survivor_17_1					83.90906114240792	54.0	115.53454972268881	30.0	22125865.0
Acute_Survivor_17_2					82.44700023569607	53.0	114.72180491022611	30.0	22125865.0
Acute_Survivor_18	35.207409386180615	5462970	20.38	7759054.0					
Acute_Survivor_18._STARpass1			20.29	7723481.0					
Acute_Survivor_18_1					81.99070605535319	54.0	116.81477059938005	30.0	38071170.0
Acute_Survivor_18_2					81.00540026070202	53.0	116.04751117446614	30.0	38071170.0
Acute_Survivor_1_1					86.97337406208443	54.0	118.77132065827418	30.0	23993103.0
Acute_Survivor_1_2					85.00538688859834	53.0	118.04543905804931	40.0	23993103.0
Acute_Survivor_2	32.9345357151979	2991544	17.34	4542164.0					
Acute_Survivor_2._STARpass1			17.27	4523734.0					
Acute_Survivor_20	33.48636184619279	2137549	23.1	3192001.0					
